City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,airai,-8.9266,125.4092,14.49,94,57,1.68,TL,1689102781
1,laguna,38.421,-121.4238,34.24,34,0,3.09,US,1689102781
2,artyom,40.4723,50.333,24.08,72,59,8.02,AZ,1689102782
3,rikitea,-23.1203,-134.9692,22.71,70,18,5.47,PF,1689102783
4,harnosand,62.6323,17.9379,19.01,81,6,3.99,SE,1689102562
5,hermanus,-34.4187,19.2345,9.33,71,0,3.38,ZA,1689102785
6,lata,40.1629,-8.3327,21.15,63,2,3.47,PT,1689102785
7,port alfred,-33.5906,26.891,13.32,74,2,3.9,ZA,1689102786
8,barrow,71.2906,-156.7887,4.01,93,100,4.12,US,1689102786
9,mataura,-46.1927,168.8643,3.06,94,84,4.62,NZ,1689102787
10,busselton,-33.65,115.3333,15.96,85,5,6.74,AU,1689102788
11,nikolskoye,59.7035,30.7861,15.94,75,16,0.99,RU,1689102788
12,bluff,-46.6,168.3333,6.39,67,99,12.92,NZ,1689102616
13,henties bay,-22.116,14.2845,16.92,48,0,2.31,NA,1689102789
14,kapaa,22.0752,-159.319,27.18,89,100,6.69,US,1689102790
15,agadir,30.4202,-9.5982,29.25,46,4,2.33,MA,1689102791
16,nalut,30.3333,10.85,34.73,16,0,4.52,LY,1689102791
17,qaanaaq,77.484,-69.3632,2.07,91,98,1.47,GL,1689102792
18,cape town,-33.9258,18.4232,14.1,73,0,1.79,ZA,1689102637
19,beringovskiy,63.05,179.3167,9.81,80,100,5.73,RU,1689102792
20,albany,42.6001,-73.9662,31.21,55,5,0.45,US,1689102793
21,upernavik,72.7868,-56.1549,4.18,95,80,4.92,GL,1689102794
22,sijunjung,-0.6876,100.9537,22.03,99,98,0.48,ID,1689102794
23,hilo,19.7297,-155.09,25.9,81,100,3.6,US,1689102673
24,fengrun,39.8333,118.1167,23.65,80,100,1.41,CN,1689102796
25,new norfolk,-42.7826,147.0587,13.29,69,100,4.33,AU,1689102796
26,kodiak,57.79,-152.4072,10.73,93,100,2.06,US,1689102797
27,port elizabeth,-33.918,25.5701,8.94,93,0,2.06,ZA,1689102797
28,tuktoyaktuk,69.4541,-133.0374,17.0,82,75,2.57,CA,1689102798
29,karlskrona,56.1616,15.5866,18.25,85,99,3.27,SE,1689102798
30,punta arenas,-53.15,-70.9167,2.06,93,75,3.09,CL,1689102799
31,humaita,-7.5061,-63.0208,37.58,21,0,1.57,BR,1689102524
32,faanui,-16.4833,-151.75,26.39,75,3,9.47,PF,1689102800
33,east london,-33.0153,27.9116,14.92,64,5,3.6,ZA,1689102800
